"Name"	"Id"	"Path"	"Path Ids"
"Appliances"	1020003	"Appliances"	1020003
"Air Conditioners"	1202533079	"Appliances | Air Conditioners"	"1020003 | 1202533079"
"Mini-Split Ductless Air Conditioners"	1290163269	"Appliances | Air Conditioners | Mini-Split Ductless Air Conditioners"	"1020003 | 1202533079 | 1290163269"
"Portable Air Conditioners"	1202551097	"Appliances | Air Conditioners | Portable Air Conditioners"	"1020003 | 1202533079 | 1202551097"
"Wall Air Conditioners"	1202551110	"Appliances | Air Conditioners | Wall Air Conditioners"	"1020003 | 1202533079 | 1202551110"
"Window Air Conditioners"	1202551103	"Appliances | Air Conditioners | Window Air Conditioners"	"1020003 | 1202533079 | 1202551103"
"Air Purifiers & Dehumidifiers"	1023526	"Appliances | Air Purifiers & Dehumidifiers"	"1020003 | 1023526"
"Air Purifiers"	1023563	"Appliances | Air Purifiers & Dehumidifiers | Air Purifiers"	"1020003 | 1023526 | 1023563"
"Dehumidifiers"	1023564	"Appliances | Air Purifiers & Dehumidifiers | Dehumidifiers"	"1020003 | 1023526 | 1023564"
"Humidifiers"	1023562	"Appliances | Air Purifiers & Dehumidifiers | Humidifiers"	"1020003 | 1023526 | 1023562"
"Appliance Accessories"	5000100	"Appliances | Appliance Accessories"	"1020003 | 5000100"
"Air Conditioner, Fan & Heater Parts & Accessories"	5000101	"Appliances | Appliance Accessories | Air Conditioner, Fan & Heater Parts & Accessories"	"1020003 | 5000100 | 5000101"
"Air Purifier & Dehumidifier Parts & Accessories"	5000102	"Appliances | Appliance Accessories | Air Purifier & Dehumidifier Parts & Accessories"	"1020003 | 5000100 | 5000102"
"Dishwasher Parts & Accessories"	1022993	"Appliances | Appliance Accessories | Dishwasher Parts & Accessories"	"1020003 | 5000100 | 1022993"
"Disposer & Compactor Parts & Accessories"	5000103	"Appliances | Appliance Accessories | Disposer & Compactor Parts & Accessories"	"1020003 | 5000100 | 5000103"
"Freezer & Ice Maker Parts & Accessories"	1023623	"Appliances | Appliance Accessories | Freezer & Ice Maker Parts & Accessories"	"1020003 | 5000100 | 1023623"
"Garment Care Parts & Accessories"	5000104	"Appliances | Appliance Accessories | Garment Care Parts & Accessories"	"1020003 | 5000100 | 5000104"
"Humidifier Parts & Accessories"	5000252	"Appliances | Appliance Accessories | Humidifier Parts & Accessories"	"1020003 | 5000100 | 5000252"
"Kitchen Cleaners"	1345829133	"Appliances | Appliance Accessories | Kitchen Cleaners"	"1020003 | 5000100 | 1345829133"
"Microwave Parts & Accessories"	5000105	"Appliances | Appliance Accessories | Microwave Parts & Accessories"	"1020003 | 5000100 | 5000105"
"Range Parts & Accessories"	5000106	"Appliances | Appliance Accessories | Range Parts & Accessories"	"1020003 | 5000100 | 5000106"
"Refrigerator Parts & Accessories"	5000107	"Appliances | Appliance Accessories | Refrigerator Parts & Accessories"	"1020003 | 5000100 | 5000107"
"Small Kitchen Appliance Replacement Parts"	5000113	"Appliances | Appliance Accessories | Small Kitchen Appliance Replacement Parts"	"1020003 | 5000100 | 5000113"
"Vacuums & Floor Care Parts & Accessories"	5000108	"Appliances | Appliance Accessories | Vacuums & Floor Care Parts & Accessories"	"1020003 | 5000100 | 5000108"
"Washer & Dryer Parts & Accessories"	5000099	"Appliances | Appliance Accessories | Washer & Dryer Parts & Accessories"	"1020003 | 5000100 | 5000099"
"Installation Accessories & Supply Lines"	5000114	"Appliances | Appliance Accessories | Washer & Dryer Parts & Accessories | Installation Accessories & Supply Lines"	"1020003 | 5000100 | 5000099 | 5000114"
"Laundry Accessories"	5000115	"Appliances | Appliance Accessories | Washer & Dryer Parts & Accessories | Laundry Accessories"	"1020003 | 5000100 | 5000099 | 5000115"
"Washer & Dryer Pedestals"	5000116	"Appliances | Appliance Accessories | Washer & Dryer Parts & Accessories | Washer & Dryer Pedestals"	"1020003 | 5000100 | 5000099 | 5000116"
"Water Cooler & Filter System Parts & Accessories"	5000109	"Appliances | Appliance Accessories | Water Cooler & Filter System Parts & Accessories"	"1020003 | 5000100 | 5000109"
"Water Heater Parts & Accessories"	5000110	"Appliances | Appliance Accessories | Water Heater Parts & Accessories"	"1020003 | 5000100 | 5000110"
"Water Softener Parts & Accessories"	5000111	"Appliances | Appliance Accessories | Water Softener Parts & Accessories"	"1020003 | 5000100 | 5000111"
"Wine Cellar & Beverage Center Parts & Accessories"	5000112	"Appliances | Appliance Accessories | Wine Cellar & Beverage Center Parts & Accessories"	"1020003 | 5000100 | 5000112"
"Appliances Bundles"	1237483576	"Appliances | Appliances Bundles"	"1020003 | 1237483576"
